"Year";"Stage";"Breeding pairs (%)";"Mean laying date";"Breeding success"
1984;"Sub-adult";0;;
1985;"Sub-adult";;;
1986;"Sub-adult";;;
1987;"Sub-adult";0;;
1988;"Sub-adult";;;
1989;"Sub-adult";0;;
1990;"Sub-adult";;;
1991;"Sub-adult";0;;
1992;"Sub-adult";;85;0
1993;"Sub-adult";;;
1994;"Sub-adult";0.3584229390681;87;0
1995;"Sub-adult";0.727272727272727;83.5;0
1996;"Sub-adult";1.38888888888889;88.2;0
1997;"Sub-adult";1.72413793103448;93.3;0.2
1998;"Sub-adult";2.3972602739726;89;0
1999;"Sub-adult";2.36686390532544;94.4;0.38
2000;"Sub-adult";2.53164556962025;89.7;0.25
2001;"Sub-adult";0.898203592814371;91.3;0
2002;"Sub-adult";0.571428571428571;95.2;0
2003;"Sub-adult";0.272479564032698;95;0
2004;"Sub-adult";0.251256281407035;105;0
2005;"Sub-adult";0.240384615384615;105;0
2006;"Sub-adult";0;;
2007;"Sub-adult";0;;
2008;"Sub-adult";0;;
2009;"Sub-adult";0;;
2010;"Sub-adult";0;;
2011;"Sub-adult";0;;
2012;"Sub-adult";0;;
2013;"Sub-adult";0.217391304347826;99;0
2014;"Sub-adult";0.182149362477231;105;0
2015;"Sub-adult";0;;
2016;"Sub-adult";0.177304964539007;105;0
2017;"Sub-adult";0.172117039586919;105;0
2018;"Sub-adult";0.482315112540193;111.6;0
2019;"Sub-adult";0.793650793650794;105;0
2020;"Sub-adult";0.938967136150235;105.5;0
1984;"Sub-adult + adult";12.2448979591837;81;0.44
1985;"Sub-adult + adult";;82.5;0.43
1986;"Sub-adult + adult";;81.8;0.37
1987;"Sub-adult + adult";18.1818181818182;79;0.42
1988;"Sub-adult + adult";;80.4;0.3
1989;"Sub-adult + adult";18.9655172413793;78.8;0.39
1990;"Sub-adult + adult";;79.9;0.38
1991;"Sub-adult + adult";18.9054726368159;79.2;0.39
1992;"Sub-adult + adult";;80;0.33
1993;"Sub-adult + adult";;77.6;0.28
1994;"Sub-adult + adult";18.6379928315412;75;0.29
1995;"Sub-adult + adult";18.5454545454545;71.8;0.24
1996;"Sub-adult + adult";17.7083333333333;73;0.27
1997;"Sub-adult + adult";18.9655172413793;71.1;0.27
1998;"Sub-adult + adult";18.4931506849315;71.1;0.33
1999;"Sub-adult + adult";19.2307692307692;71.2;0.37
2000;"Sub-adult + adult";19.9367088607595;72.2;0.3
2001;"Sub-adult + adult";19.1616766467066;73.6;0.31
2002;"Sub-adult + adult";13.4285714285714;73.9;0.23
2003;"Sub-adult + adult";8.99182561307902;74.2;0.24
2004;"Sub-adult + adult";9.79899497487437;82.8;0.08
2005;"Sub-adult + adult";11.0576923076923;84;0.13
2006;"Sub-adult + adult";9.02255639097744;89.7;0.14
2007;"Sub-adult + adult";6.78851174934726;89.7;0.12
2008;"Sub-adult + adult";5;94.7;0.22
2009;"Sub-adult + adult";4.22535211267606;97.9;0.13
2010;"Sub-adult + adult";2.43243243243243;99.8;0.11
2011;"Sub-adult + adult";2.41286863270777;99.6;0.22
2012;"Sub-adult + adult";3.80710659898477;84.4;0.2
2013;"Sub-adult + adult";2.60869565217391;83.9;0.25
2014;"Sub-adult + adult";3.4608378870674;85.5;0.21
2015;"Sub-adult + adult";4.14414414414414;79.1;0.26
2016;"Sub-adult + adult";3.54609929078014;80;0.2
2017;"Sub-adult + adult";3.78657487091222;77.7;0.28
2018;"Sub-adult + adult";2.57234726688103;78;0.25
2019;"Sub-adult + adult";6.03174603174603;80;0.18
2020;"Sub-adult + adult";9.70266040688576;78.1;0.11
1984;"Adult";70.7482993197279;59.1;0.75
1985;"Adult";;59.7;0.67
1986;"Adult";;59.2;0.75
1987;"Adult";68.5314685314685;56.8;0.71
1988;"Adult";;59.3;0.68
1989;"Adult";62.6436781609195;55.5;0.67
1990;"Adult";;59.4;0.69
1991;"Adult";66.1691542288557;56.6;0.7
1992;"Adult";;58.2;0.68
1993;"Adult";;56.4;0.76
1994;"Adult";64.5161290322581;52.8;0.68
1995;"Adult";63.6363636363636;48.2;0.6
1996;"Adult";62.8472222222222;48.9;0.68
1997;"Adult";62.0689655172414;51.1;0.71
1998;"Adult";60.6164383561644;48.3;0.69
1999;"Adult";57.1005917159763;49.9;0.64
2000;"Adult";61.0759493670886;49;0.68
2001;"Adult";66.4670658682635;49.2;0.68
2002;"Adult";70.8571428571429;51.4;0.6
2003;"Adult";76.8392370572207;52.7;0.6
2004;"Adult";75.1256281407035;62;0.47
2005;"Adult";74.7596153846154;62.2;0.4
2006;"Adult";76.1904761904762;69.9;0.45
2007;"Adult";78.5900783289817;72.3;0.34
2008;"Adult";79.7222222222222;75.1;0.33
2009;"Adult";81.1267605633803;77.7;0.4
2010;"Adult";84.0540540540541;79.8;0.42
2011;"Adult";83.6461126005362;79.2;0.44
2012;"Adult";84.010152284264;65.7;0.52
2013;"Adult";84.1304347826087;64.9;0.45
2014;"Adult";80.8743169398907;61;0.55
2015;"Adult";80.1801801801802;57.1;0.52
2016;"Adult";79.0780141843972;58;0.45
2017;"Adult";77.4526678141136;55.5;0.53
2018;"Adult";73.7942122186495;56.2;0.44
2019;"Adult";67.7777777777778;55.5;0.52
2020;"Adult";65.2582159624413;56.4;0.5
